index,label,rmse
0,33.0,0.7704831475877372
1,29.0,0.7203430164606749
2,30.0,0.7520757483860767
3,26.0,0.7166993416868935
4,27.0,0.7193393121644394
5,31.0,0.7319208678948425
6,24.0,0.5947740680566124
7,38.0,0.5548388962945923
8,18.0,0.752612472489394
9,25.0,0.7292376626159108
10,28.0,0.6979690750011959
11,32.0,0.680686388139479
12,34.0,0.718928998428705
13,58.0,0.28679090962201315
14,43.0,0.6755009350448083
15,36.0,0.9128460537330589
16,90.0,0.2651703480509233
17,47.0,0.48599400430481593
18,19.0,0.7809718044662296
19,54.0,0.6465715575776649
20,75.0,0.21186440593869182
21,21.0,0.7388339606469252
22,10.0,0.5677393135134534
23,20.0,0.6313246056509894
24,55.0,0.45959247715681417
25,44.0,0.6908992871926445
26,41.0,0.6967360452485002
27,87.0,0.9847536638603036
28,14.0,0.7386401719056652
29,49.0,0.6051128372652971
30,42.0,0.8125043192160425
31,65.0,0.44063824103048715
32,83.0,0.28679090962201315
33,23.0,0.7254430961532261
34,50.0,0.5637757333473226
35,22.0,0.6774606173666058
36,66.0,0.7132090903779869
37,35.0,0.657871045210197
38,78.0,0.6693942253700582
39,12.0,1.0641296861005496
40,70.0,0.8433227138687006
41,52.0,0.28679090962201315
42,74.0,0.2234031186087205
43,37.0,0.686577288683891
44,16.0,0.7132090903779869
45,9.0,0.6852728463662614
46,89.0,0.7982120639861476
47,15.0,0.6972195165003149
48,88.0,0.7352979086823104
49,39.0,0.5873545974629396
50,45.0,0.4479155649263855
51,73.0,0.28679090962201315
52,61.0,0.28679090962201315
53,71.0,0.7726826019116426
54,67.0,1.052023167003945
55,84.0,0.27111865823064596
56,11.0,0.7297884626914652
57,64.0,0.28679090962201315
58,40.0,0.7051113438689495
59,13.0,0.8533822958422007
60,53.0,0.7005946313463199
61,8.0,0.9443575669965755
62,60.0,0.9322231146371747
63,81.0,0.7301035473654145
64,48.0,0.7799558701675962
65,46.0,0.5683163135685955
66,51.0,0.7449569347538137
67,85.0,0.8684744980987402
68,79.0,0.28679090962201315
69,59.0,0.6783669058645388
70,17.0,0.5028084109720233
71,80.0,0.9846013252823798
72,77.0,0.5528570004645283
73,68.0,0.5571862385310355
74,82.0,1.046286650004489
75,69.0,0.6805982545331039
76,72.0,1.0148134965402953
77,63.0,0.6117157130508495
78,76.0,0.6025699383281722
79,86.0,0.6621122685441183
