never+say+never+again+1983,FALSE,"Adventure, Action, Thriller",134,5.8,"English, Français, العربية, Español"
the+red+baron+2008,FALSE,"Action, Adventure, Drama, History, War",120,6.4,"Deutsch, Français, English"
saving+private+ryan+1998,FALSE,"Drama, History, War",169,7.9,"Český, Deutsch, English, Français"
pirates+of+the+caribbean+at+worlds+end+2007,FALSE,"Adventure, Fantasy, Action",169,6.9,English
the+dark+knight+2008,FALSE,"Drama, Action, Crime, Thriller",152,8.3,"English, 普通话"
jamie+and+jessie+are+not+together+2011,FALSE,"Comedy, Romance",95,4.6,English
the+adventures+of+picasso+1978,FALSE,Comedy,118,7.6,"English, suomi, Français, Deutsch, Italiano, Latin, Norsk, Pусский, Español, svenska"
goldfish+memory+2003,FALSE,"Comedy, Drama, Romance",85,6.2,English
lets+be+cops+2014,FALSE,Comedy,104,6.4,English
the+dark+knight+rises+2012,FALSE,"Action, Crime, Drama, Thriller",165,7.6,English
pulp+fiction+1994,FALSE,"Thriller, Crime",154,8.3,"English, Español, Français"
the+curse+of+the+jade+scorpion+2001,FALSE,"Comedy, Crime, Mystery, Romance, Thriller",103,6.5,"English, Polski"
harry+potter+and+the+goblet+of+fire+2005,FALSE,"Adventure, Fantasy, Family",157,7.5,"English, Français"
the+loves+of+pharaoh+1922,FALSE,"History, Drama",100,9,Deutsch
boogie+nights+1997,FALSE,Drama,155,7.5,English
leon+the+professional+1994,FALSE,"Thriller, Crime, Drama",110,8.2,English
harry+potter+and+the+philosophers+stone+2001,FALSE,"Adventure, Fantasy, Family",152,7.5,English
light+the+fuse...+sartana+is+coming+1970,FALSE,Western,99,6.5,Italiano
psycho+beach+party+2000,FALSE,Comedy,95,6,English
dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,FALSE,"Animation, Adventure, Family",70,7.3,
jesus+christ+vampire+hunter+2001,FALSE,"Action, Comedy, Horror",85,3.9,English
grand+illusion+1937,FALSE,"Drama, History, War",114,7.5,"Pусский, Deutsch, Français, English"
the+debt+2010,FALSE,"Drama, Thriller",113,6.2,"Pусский, English, Deutsch"
hansel++gretel+2002,FALSE,"Comedy, Family, Fantasy",89,5.9,"English, Italiano"
decampitated+1998,FALSE,,92,2.9,English
what+about+dick+2012,FALSE,,80,8,English
beyond+the+hills+2012,FALSE,"Drama, Romance",150,7.2,Română
reservoir+dogs+1992,FALSE,"Crime, Thriller",99,8.1,English
sympathy+for+mr.+vengeance+2002,FALSE,"Action, Drama, Thriller",121,7.3,한국어/조선말
knife+in+the+water+1962,FALSE,Drama,94,7.1,Polski
die+nibelungen+siegfried+1924,FALSE,"Adventure, Drama, Fantasy",140,7.7,Deutsch
the+hobbit+an+unexpected+journey+2012,FALSE,"Adventure, Fantasy, Action",169,7,English
armour+of+god+ii+operation+condor+1991,FALSE,"Action, Adventure, Crime, Thriller",106,7,广州话 / 廣州話
the+maze+runner+2014,FALSE,"Action, Mystery, Science Fiction, Thriller",113,7,English
the+amazing+spider-man+2012,FALSE,"Action, Adventure, Fantasy",136,6.5,English
indiana+jones+and+the+temple+of+doom+1984,FALSE,"Adventure, Action",118,7.1,"English, "
frenzy+1972,FALSE,"Crime, Drama, Mystery, Thriller",116,7.2,English
inventing+the+abbotts+1997,FALSE,"Drama, Romance",110,6.4,English
what+have+you+done+to+solange+1972,FALSE,"Mystery, Thriller",103,7.2,"English, Deutsch, Italiano"
serena+2014,FALSE,Drama,102,5.3,English
before+sunrise+1995,FALSE,"Drama, Romance",105,7.7,"English, Deutsch, Français"
manon+1949,FALSE,"Crime, Drama",100,8,Français
wargames+1983,FALSE,"Thriller, Science Fiction",114,7,English
colors+1988,FALSE,"Action, Crime, Drama",120,6.6,"English, Español"
harry+potter+and+the+prisoner+of+azkaban+2004,FALSE,"Adventure, Fantasy, Family",141,7.7,English
close+encounters+of+the+third+kind+1977,FALSE,"Science Fiction, Drama",135,7.2,"हिन्दी, English, Français, Español"
deadheads+2011,FALSE,"Adventure, Comedy, Horror",94,5,English
star+wars+1977,FALSE,"Adventure, Action, Science Fiction",121,8.1,English
addams+family+reunion+1998,FALSE,"Comedy, Family, Fantasy, Thriller, TV Movie",91,3.9,"English, Français"
henri+georges+clouzots+inferno+2009,FALSE,"Documentary, Foreign",102,6.5,Français
blade+ii+2002,FALSE,"Fantasy, Horror, Action, Thriller",117,6.3,"Český, Română, English"
whos+singin+over+there+1980,FALSE,"Drama, Comedy, Adventure",86,8,Srpski
shall+we+dance+1996,FALSE,"Music, Comedy, Drama, Romance",136,7.2,日本語
sundown+1941,FALSE,"Drama, War",90,4.8,English
alice+in+wonderland+1951,FALSE,"Animation, Adventure, Family, Fantasy",75,7,English
brave+2012,FALSE,"Animation, Adventure, Comedy, Family, Action, Fantasy",93,6.7,English
enron+the+smartest+guys+in+the+room+2005,FALSE,Documentary,110,7.2,English
revenge+1990,FALSE,"Thriller, Drama, Romance, Crime",123,6,"English, Español"
constantine+2005,FALSE,"Drama, Fantasy, Horror",121,6.6,"English, Português, "
willy+wonka++the+chocolate+factory+1971,FALSE,"Family, Fantasy",100,7.4,"English, Français, Deutsch"
the+long+kiss+goodnight+1996,FALSE,"Crime, Action, Mystery, Thriller",120,6.4,English
